Region,district,Date,visitors
Domestic,Mahabubabad ,01-11-16,114015
Domestic,Mahabubabad ,01-12-16,12955
Domestic,Mahbubnagar,01-01-16,577071
Domestic,Mahbubnagar,01-02-16,1312068
Domestic,Mahbubnagar,01-03-16,1731983
Domestic,Mahbubnagar,01-04-16,622432
Domestic,Mahbubnagar,01-05-16,571898
Domestic,Mahbubnagar,01-06-16,561006
Domestic,Mahbubnagar,01-07-16,562322
Domestic,Mahbubnagar,01-08-16,1133105
Domestic,Mahbubnagar,01-09-16,567712
Domestic,Mahbubnagar,01-10-16,198592
Domestic,Mahbubnagar,01-11-16,256375
Domestic,Mahbubnagar,01-12-16,210202
Domestic,Mancherial,01-01-16,
Domestic,Mancherial,01-02-16,
Domestic,Mancherial,01-03-16,
Domestic,Mancherial,01-04-16,
Domestic,Mancherial,01-05-16,
Domestic,Mancherial,01-06-16,
Domestic,Mancherial,01-07-16,
Domestic,Mancherial,01-08-16,
Domestic,Mancherial,01-09-16,
Domestic,Mancherial,01-10-16,3124
Domestic,Mancherial,01-11-16,2255
Domestic,Mancherial,01-12-16,2423
Domestic,Medak ,01-01-16,92600
Domestic,Medak ,01-02-16,215000
Domestic,Medak ,01-03-16,1318000
Domestic,Medak ,01-04-16,300000
Domestic,Medak ,01-05-16,198000
Domestic,Medak ,01-06-16,166700
Domestic,Medak ,01-07-16,153300
Domestic,Medak ,01-08-16,216100
Domestic,Medak ,01-09-16,132600
Domestic,Medak ,01-10-16,15600
Domestic,Medak ,01-11-16,132300
Domestic,Medak ,01-12-16,523000
Domestic,Medchal ,01-01-16,
Domestic,Medchal ,01-02-16,
Domestic,Medchal ,01-03-16,
Domestic,Medchal ,01-04-16,
Domestic,Medchal ,01-05-16,
Domestic,Medchal ,01-06-16,
Domestic,Medchal ,01-07-16,
Domestic,Medchal ,01-08-16,
Domestic,Medchal ,01-09-16,
Domestic,Medchal ,01-10-16,
Domestic,Medchal ,01-11-16,
Domestic,Medchal ,01-12-16,
Domestic,Nagarkurnool ,01-01-16,
Domestic,Nagarkurnool ,01-02-16,
Domestic,Nagarkurnool ,01-03-16,
Domestic,Nagarkurnool ,01-04-16,
Domestic,Nagarkurnool ,01-05-16,
Domestic,Nagarkurnool ,01-06-16,
Domestic,Nagarkurnool ,01-07-16,
Domestic,Nagarkurnool ,01-08-16,
Domestic,Nagarkurnool ,01-09-16,
Domestic,Nagarkurnool ,01-10-16,201050
Domestic,Nagarkurnool ,01-11-16,188786
Domestic,Nagarkurnool ,01-12-16,198637
Domestic,Nalgonda,01-01-16,566515
Domestic,Nalgonda,01-02-16,539467
Domestic,Nalgonda,01-03-16,619462
Domestic,Nalgonda,01-04-16,601253
Domestic,Nalgonda,01-05-16,628872
Domestic,Nalgonda,01-06-16,551239
Domestic,Nalgonda,01-07-16,582820
Domestic,Nalgonda,01-08-16,988102
Domestic,Nalgonda,01-09-16,742402
Domestic,Nalgonda,01-10-16,3508
Domestic,Nalgonda,01-11-16,21046
Domestic,Nalgonda,01-12-16,13775
Domestic,Nirmal,01-01-16,
Domestic,Nirmal,01-02-16,
Domestic,Nirmal,01-03-16,
Domestic,Nirmal,01-04-16,
Domestic,Nirmal,01-05-16,
Domestic,Nirmal,01-06-16,
Domestic,Nirmal,01-07-16,
Domestic,Nirmal,01-08-16,
Domestic,Nirmal,01-09-16,
Domestic,Nirmal,01-10-16,475955
Domestic,Nirmal,01-11-16,201388
Domestic,Nirmal,01-12-16,239267
Domestic,Nizamabad,01-01-16,576
Domestic,Nizamabad,01-02-16,869
Domestic,Nizamabad,01-03-16,408
Domestic,Nizamabad,01-04-16,476
Domestic,Nizamabad,01-05-16,554
Domestic,Nizamabad,01-06-16,367
Domestic,Nizamabad,01-07-16,644
Domestic,Nizamabad,01-08-16,589
Domestic,Nizamabad,01-09-16,553
Domestic,Nizamabad,01-10-16,434
Domestic,Nizamabad,01-11-16,617
Domestic,Nizamabad,01-12-16,355
Domestic,Peddapalli,01-01-16,
Domestic,Peddapalli,01-02-16,
Domestic,Peddapalli,01-03-16,
Domestic,Peddapalli,01-04-16,
Domestic,Peddapalli,01-05-16,
Domestic,Peddapalli,01-06-16,
Domestic,Peddapalli,01-07-16,
Domestic,Peddapalli,01-08-16,
Domestic,Peddapalli,01-09-16,
Domestic,Peddapalli,01-10-16,950
Domestic,Peddapalli,01-11-16,1145
Domestic,Peddapalli,01-12-16,1149
Domestic,Rajanna Sircilla ,01-01-16,
Domestic,Rajanna Sircilla ,01-02-16,
Domestic,Rajanna Sircilla ,01-03-16,
Domestic,Rajanna Sircilla ,01-04-16,
Domestic,Rajanna Sircilla ,01-05-16,
Domestic,Rajanna Sircilla ,01-06-16,
Domestic,Rajanna Sircilla ,01-07-16,
Domestic,Rajanna Sircilla ,01-08-16,
Domestic,Rajanna Sircilla ,01-09-16,
Domestic,Rajanna Sircilla ,01-10-16,534484
Domestic,Rajanna Sircilla ,01-11-16,864077
Domestic,Rajanna Sircilla ,01-12-16,778240
Domestic,Ranga Reddy,01-01-16,
